#wait,slowdown,0readerCPW,diffcycles,1readerCPW,readerCPR,event
10,1.270279,240.147542,64.906819,305.054361,7.658523,0
20,1.193371,480.296541,92.875533,573.172073,6.897727,0
30,1.156197,720.296359,112.508185,832.804544,6.658845,0
40,1.115088,968.473480,111.459717,1079.933197,6.575463,0
50,1.134573,1200.444543,161.547998,1361.992542,6.460890,0
60,1.128074,1440.490393,184.489203,1624.979596,6.395616,0
70,1.126910,1680.629169,213.288049,1893.917218,6.357820,0
80,1.105887,1928.631653,204.217261,2132.848914,6.418516,0
90,1.104693,2168.817786,227.059534,2395.877319,6.348042,0
100,1.102568,2408.948828,247.081043,2656.029871,6.353109,0
