#wait,slowdown,0readerCPW,diffcycles,1readerCPW,readerCPR,event
10,1.125443,240.147582,30.124802,270.272385,270.123737,0
20,1.127846,240.150922,30.702319,270.853241,541.354779,0
30,1.128186,240.155102,30.784557,270.939659,812.254083,0
40,1.137265,240.257922,32.978896,273.236818,1096.060144,0
50,1.128019,240.194742,30.749501,270.944243,1353.705615,0
60,1.127693,240.192182,30.670837,270.863019,1624.074439,0
70,1.128537,240.187221,30.872841,271.060062,1896.121136,0
80,1.131749,240.195460,31.645482,271.840942,2178.736670,0
90,1.130829,240.118301,31.414519,271.532820,2450.103528,0
100,1.131280,240.152582,31.527237,271.679819,2719.244751,0
